Feature,Coefficient,Odds_Ratio
categorical__occupation_Prof-specialty,0.4094358009500313,1.5059678797304668
categorical__occupation_Protective-serv,0.688870991493168,1.991465881622718
categorical__occupation_Sales,0.3698743320131803,1.4475526922000048
categorical__occupation_Tech-support,0.7328613247676252,2.081026589847976
categorical__occupation_Transport-moving,-0.0315428695262748,0.9689494171608632
categorical__relationship_Husband,-0.4165632768251405,0.6593087925083122
categorical__relationship_Not-in-family,0.16187722059430407,1.1757158787619448
categorical__relationship_Other-relative,-0.7037896640336097,0.4947069736939964
categorical__relationship_Own-child,-0.8265040783843919,0.4375763481360159
categorical__relationship_Unmarried,-0.020209591133678373,0.9799932538833838
categorical__relationship_Wife,0.989767373206082,2.6906084919150115
categorical__race_Amer-Indian-Eskimo,-0.47324885020156177,0.6229750244263539
categorical__race_Asian-Pac-Islander,0.07353442595486145,1.0763055888817292
categorical__race_Black,-0.16115659167375165,0.8511587762935863
categorical__race_Other,-0.3480180818999578,0.706086108720575
categorical__race_White,0.0934670812439375,1.0979744587930143
categorical__sex_Female,-0.8310640087737509,0.43558557279647936
categorical__sex_Male,0.015641992197295795,1.0157649685187944
categorical__native_country_Cambodia,1.1939521164957698,3.3000978399273793
categorical__native_country_Canada,0.3522313079948839,1.4222374605695023
categorical__native_country_China,-0.47287445216631446,0.6232083087193727
categorical__native_country_Columbia,-1.4199725236836955,0.2417206583990615
categorical__native_country_Cuba,0.3994205894266999,1.4909605690047563
categorical__native_country_Dominican-Republic,-1.2624754606213544,0.2829527205128866
categorical__native_country_Ecuador,-0.161617212923625,0.8507668047563495
categorical__native_country_El-Salvador,-0.3659487234763888,0.6935383625342392
categorical__native_country_England,0.4175022451287278,1.5181648123700904
categorical__native_country_France,0.576940640743703,1.7805826474008652
categorical__native_country_Germany,0.5174829722318149,1.677799263113351
categorical__native_country_Greece,-0.7178433961901023,0.48780312047156366
categorical__native_country_Guatemala,0.008397947808697303,1.0084333094916047
categorical__native_country_Haiti,0.09481579535004245,1.0994563115069327
categorical__native_country_Holand-Netherlands,-0.015521365367486502,0.9845984702188643
categorical__native_country_Honduras,-0.2272247460879131,0.7967416975869903
categorical__native_country_Hong,0.048914638746232086,1.0501307064402858
categorical__native_country_Hungary,0.3297461167871146,1.3906150298311089
categorical__native_country_India,-0.1566720284565558,0.8549844234003329
categorical__native_country_Iran,0.11034629129468815,1.1166646947755765
categorical__native_country_Ireland,0.9287174473665526,2.531260619866061
categorical__native_country_Italy,0.7258252715695562,2.066435767151999
categorical__native_country_Jamaica,0.19356921968987817,1.21357338681771
categorical__native_country_Japan,0.4002123493009793,1.492141519210227
categorical__native_country_Laos,-0.1754788561707126,0.8390551378245075
categorical__native_country_Mexico,-0.5221353608419094,0.5932523865453487
categorical__native_country_Nicaragua,-0.5151359387144718,0.5974193766759653
categorical__native_country_Outlying-US(Guam-USVI-etc),-0.6404181602039694,0.5270719774296718
categorical__native_country_Peru,-0.4019468472481752,0.669016304802922
categorical__native_country_Philippines,0.6384166311431286,1.8934804265815661
categorical__native_country_Poland,0.14055477214561465,1.1509121157645124
